File	Terminals	Reading time (s)	Encoding time (s)	Total time (s)	Current memory (KB)	Peak memory (KB)
2279.newick	20	0.0011096000671386719	0.08782291412353516	0.08893299102783203	13.003	26.042
1061.newick	22	0.0012233257293701172	0.0912010669708252	0.09242534637451172	14.458	28.012
2020.newick	20	0.001195669174194336	0.09220075607299805	0.09339690208435059	11.982	24.495
2289.newick	20	0.0010657310485839844	0.03838801383972168	0.03945422172546387	8.474	18.654
149.newick	46	0.0016968250274658203	0.18509888648986816	0.1867966651916504	37.345	54.382
4897.newick	4	0.0009608268737792969	0.0032393932342529297	0.00420069694519043	2.849	14.214
2508.newick	20	0.0011441707611083984	0.0916743278503418	0.0928189754486084	14.211	26.864
1748.newick	20	0.001249551773071289	0.09003448486328125	0.09128451347351074	12.596	24.62
4065.newick	16	0.0010800361633300781	0.06136465072631836	0.06244516372680664	9.21	19.135
449.newick	29	0.0013165473937988281	0.11957287788391113	0.12089014053344727	18.42	33.335
2167.newick	20	0.0012040138244628906	0.07467436790466309	0.07587885856628418	10.18	20.641
3068.newick	20	0.0011284351348876953	0.08254742622375488	0.08367633819580078	10.869	22.98
4405.newick	8	0.0008828639984130859	0.01049947738647461	0.011383295059204102	4.359	15.012
3534.newick	19	0.0010857582092285156	0.07108330726623535	0.07217001914978027	11.917	23.998
4420.newick	8	0.0008783340454101562	0.007538557052612305	0.008417367935180664	4.311	14.938
699.newick	25	0.0011830329895019531	0.06383824348449707	0.06502175331115723	15.563	27.819
709.newick	25	0.0011806488037109375	0.10125851631164551	0.10243964195251465	16.562	30.067
3488.newick	20	0.001125335693359375	0.09638500213623047	0.09751105308532715	12.094	24.647
1502.newick	20	0.0011873245239257812	0.11308956146240234	0.11427807807922363	12.152	25.388
1254.newick	21	0.0013003349304199219	0.11433959007263184	0.11564087867736816	12.967	26.546
2309.newick	20	0.0012087821960449219	0.09421133995056152	0.09542083740234375	11.522	23.814
1128.newick	21	0.001241922378540039	0.08546137809753418	0.08670425415039062	13.051	25.625
2280.newick	20	0.001241922378540039	0.09490799903869629	0.09615063667297363	9.612	21.021
2411.newick	20	0.0013148784637451172	0.08082079887390137	0.08213686943054199	9.89	20.794
612.newick	26	0.001399993896484375	0.10765504837036133	0.10905647277832031	16.486	29.352
1355.newick	21	0.001821279525756836	0.054383039474487305	0.056204795837402344	10.183	20.867
4832.newick	4	0.0008535385131835938	0.003166675567626953	0.00402069091796875	2.859	14.216
